"","id","fid","h","a","date","league_id","season","h_goals","a_goals","team_h","team_a","h_xg","a_xg","h_w","h_d","h_l","league","h_shot","a_shot","h_shotOnTarget","a_shotOnTarget","h_deep","a_deep","a_ppda","h_ppda"
"1","14136","1491956","156","152","2020-09-12 14:00:00","4","2020","0","0","Eibar","Celta Vigo","0.344008","0.783653","0.1401","0.3904","0.4695","La liga","8","6","1","3","1","2","5.2273","4.4074"
"1","14137","1491958","155","147","2020-09-12 16:30:00","4","2020","2","0","Granada","Athletic Club","0.545144","0.483337","0.3131","0.4505","0.2364","La liga","4","9","2","2","2","3","6.8182","17.9375"
"1","14138","1491957","261","157","2020-09-12 19:00:00","4","2020","0","2","Cadiz","Osasuna","0.600934","0.633286","0.2773","0.4141","0.3086","La liga","12","6","3","4","4","5","6.7407","6.6667"
"1","14139","1491953","158","153","2020-09-13 12:00:00","4","2020","0","1","Alaves","Real Betis","1.17642","0.341233","0.7103","0.2358","0.0539","La liga","7","11","2","4","1","4","9.9444","8.5600"
"1","14140","1491961","231","140","2020-09-13 14:00:00","4","2020","1","1","Real Valladolid","Real Sociedad","0.858211","0.31178","0.528","0.3655","0.1065","La liga","8","8","3","2","2","3","6.0526","10.2857"
"1","14143","1491962","154","232","2020-09-13 16:30:00","4","2020","1","1","Villarreal","SD Huesca","2.01913","0.556003","0.7705","0.1695","0.06","La liga","15","8","4","2","11","3","13.2381","5.6207"
"1","14144","1491960","146","151","2020-09-13 19:00:00","4","2020","4","2","Valencia","Levante","1.72531","2.37179","0.2184","0.2503","0.5313","La liga","14","19","8","8","4","5","9.9091","14.5000"
"1","14146","1491972","154","156","2020-09-19 14:00:00","4","2020","2","1","Villarreal","Eibar","2.99286","1.112","0.8148","0.1211","0.0641","La liga","14","12","8","4","6","1","8.9310","7.6316"
"1","14145","1491966","142","157","2020-09-19 16:30:00","4","2020","1","0","Getafe","Osasuna","0.702715","0.486466","0.3749","0.4122","0.2129","La liga","7","10","1","3","2","3","12.5000","6.1667"
"1","14147","1491965","152","146","2020-09-19 19:00:00","4","2020","2","1","Celta Vigo","Valencia","2.33534","0.456643","0.8596","0.1099","0.0305","La liga","23","9","6","3","8","2","8.8214","9.4091"
