"","match_id","id","goals","own_goals","shots","xG","time","player_id","team_id","position","player","h_a","yellow_card","red_card","roster_in","roster_out","key_passes","assists","xA","xGChain","xGBuildup","positionOrder"
"1",13977,"413198","0","0","0","0","90","3218","176","GK","Benoit Costil","h","0","0","0","0","0","0","0","0.01578649692237377","0.01578649692237377","1"
"2",13977,"413199","0","0","0","0","90","3399","176","DR","Youssouf Sabaly","h","0","0","0","0","0","0","0","0.01578649692237377","0.01578649692237377","2"
"3",13977,"413201","0","0","0","0","90","494","176","DC","Laurent Koscielny","h","0","0","0","0","0","0","0","0","0","3"
"4",13977,"413200","0","0","0","0","90","3305","176","DC","Paul Baysse","h","0","0","0","0","0","0","0","0.01578649692237377","0.01578649692237377","3"
"5",13977,"413202","0","0","0","0","77","3576","176","DL","Maxime Poundje","h","0","0","413210","0","0","0","0","0","0","4"
"6",13977,"413204","0","0","1","0.01578649692237377","90","6902","176","MC","Toma Basic","h","0","0","0","0","0","0","0","0.01578649692237377","0.01578649692237377","9"
"7",13977,"413205","0","0","0","0","19","8166","176","MC","Mehdi Zerkane","h","0","1","0","0","0","0","0","0","0","9"
"8",13977,"413203","0","0","2","0.019908204674720764","90","6060","176","MC","Otávio","h","1","0","0","0","1","0","0.0167586300522089","0.036666836589574814","0","9"
"9",13977,"413206","0","0","0","0","66","3244","176","FWR","Nicolas de Preville","h","1","0","413211","0","3","0","0.575173020362854","0.04431022331118584","0.03254512697458267","14"
"10",13977,"413207","0","0","0","0","48","5587","176","FW","Josh Maja","h","0","0","413209","0","0","0","0","0","0","15"
"11",13977,"413208","0","0","2","0.5643800497055054","77","7746","176","FWL","Hwang Ui-Jo","h","0","0","413212","0","0","0","0","0.0167586300522089","0","16"
"12",13977,"413210","0","0","0","0","13","3652","176","Sub","Enock Kwateng","h","0","0","0","413202","0","0","0","0","0","17"
"13",13977,"413211","0","0","0","0","24","3477","176","Sub","Jimmy Briand","h","0","0","0","413206","0","0","0","0","0","17"
"14",13977,"413209","0","0","0","0","42","6884","176","Sub","Remi Oudin","h","0","0","0","413207","0","0","0","0","0","17"
"15",13977,"413212","0","0","0","0","13","6947","176","Sub","Samuel Kalu","h","0","0","0","413208","0","0","0","0","0","17"
"16",13977,"413213","0","0","0","0","90","3201","168","GK","Alban Lafont","a","0","0","0","0","0","0","0","0","0","1"
"17",13977,"413214","0","0","0","0","90","1752","168","DR","Fabio","a","0","0","0","0","1","0","0.0136354248970747","0.04922271519899368","0.04922271519899368","2"
