"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"1","14173",TRUE,117,Bayern Munich,BAY,124,Schalke 04,SCH,8,0,4.62088,0.14975,"2020-09-18 18:30:00",0.9948,0.0046,0.0006
"2","14174",TRUE,132,Eintracht Frankfurt,EIN,262,Arminia Bielefeld,,1,1,2.46928,0.618787,"2020-09-19 13:30:00",0.8454,0.1158,0.0388
"3","14175",TRUE,240,Union Berlin,UNI,121,Augsburg,AUG,1,3,1.04515,1.42046,"2020-09-19 13:30:00",0.243,0.2882,0.4688
"4","14176",TRUE,134,FC Cologne,COL,120,Hoffenheim,HOF,2,3,2.40801,2.9032,"2020-09-19 13:30:00",0.2453,0.253,0.5017
"5","14177",TRUE,123,Werder Bremen,WER,122,Hertha Berlin,HER,1,4,0.495892,2.05406,"2020-09-19 13:30:00",0.0616,0.1641,0.7743
"6","14178",TRUE,133,VfB Stuttgart,STU,135,Freiburg,FRE,2,3,2.15741,2.07011,"2020-09-19 13:30:00",0.3889,0.2421,0.369
"7","14179",TRUE,129,Borussia Dortmund,DOR,130,Borussia M.Gladbach,BMG,3,0,1.70398,0.510293,"2020-09-19 16:30:00",0.7372,0.2031,0.0597
"8","14180",TRUE,136,RasenBallsport Leipzig,RBL,125,Mainz 05,MAI,3,1,3.22891,1.07201,"2020-09-20 13:30:00",0.8409,0.1113,0.0478
"9","14181",TRUE,131,Wolfsburg,WOL,119,Bayer Leverkusen,LEV,0,0,1.27652,0.441229,"2020-09-20 16:00:00",0.6238,0.2774,0.0988
"10","14182",TRUE,122,Hertha Berlin,HER,132,Eintracht Frankfurt,EIN,1,3,1.55994,1.62111,"2020-09-25 18:30:00",0.3391,0.2951,0.3658
"11","14183",TRUE,125,Mainz 05,MAI,133,VfB Stuttgart,STU,1,4,1.04484,2.9689,"2020-09-26 13:30:00",0.0465,0.1219,0.8316
"12","14184",TRUE,121,Augsburg,AUG,129,Borussia Dortmund,DOR,2,0,1.44779,1.5267,"2020-09-26 13:30:00",0.3505,0.273,0.3765
"13","14185",TRUE,262,Arminia Bielefeld,,134,FC Cologne,COL,1,0,0.163242,1.3741,"2020-09-26 13:30:00",0.0248,0.181,0.7942
"14","14186",TRUE,130,Borussia M.Gladbach,BMG,240,Union Berlin,UNI,1,1,1.47627,0.771461,"2020-09-26 13:30:00",0.5654,0.2632,0.1714
"15","14187",TRUE,119,Bayer Leverkusen,LEV,136,RasenBallsport Leipzig,RBL,1,1,0.91247,1.20453,"2020-09-26 13:30:00",0.2522,0.3247,0.4231
"16","14188",TRUE,124,Schalke 04,SCH,123,Werder Bremen,WER,1,3,1.67597,3.10437,"2020-09-26 16:30:00",0.1077,0.1683,0.724
"17","14189",TRUE,120,Hoffenheim,HOF,117,Bayern Munich,BAY,4,1,2.52339,1.17311,"2020-09-27 13:30:00",0.7104,0.1742,0.1154
"18","14190",TRUE,135,Freiburg,FRE,131,Wolfsburg,WOL,1,1,0.92465,0.413442,"2020-09-27 16:00:00",0.4736,0.3727,0.1537
"19","15158",TRUE,240,Union Berlin,UNI,125,Mainz 05,MAI,4,0,2.07145,0.189144,"2020-10-02 18:30:00",0.8709,0.111,0.0181
"20","15159",TRUE,134,FC Cologne,COL,130,Borussia M.Gladbach,BMG,1,3,0.244959,2.0629,"2020-10-03 13:30:00",0.0198,0.1033,0.8769
"21","15160",TRUE,123,Werder Bremen,WER,262,Arminia Bielefeld,,1,0,0.346071,1.02247,"2020-10-03 13:30:00",0.1066,0.3256,0.5678
"22","15161",TRUE,133,VfB Stuttgart,STU,119,Bayer Leverkusen,LEV,1,1,0.799979,1.69772,"2020-10-03 13:30:00",0.141,0.2385,0.6205
"23","15162",TRUE,129,Borussia Dortmund,DOR,135,Freiburg,FRE,4,0,2.82762,0.445096,"2020-10-03 13:30:00",0.9293,0.0625,0.0082
"24","15163",TRUE,132,Eintracht Frankfurt,EIN,120,Hoffenheim,HOF,2,1,3.57344,0.769689,"2020-10-03 13:30:00",0.9461,0.0421,0.0118
"25","15164",TRUE,136,RasenBallsport Leipzig,RBL,124,Schalke 04,SCH,4,0,3.25836,0.215209,"2020-10-03 16:30:00",0.9711,0.0252,0.0037
"26","15165",TRUE,131,Wolfsburg,WOL,121,Augsburg,AUG,0,0,1.31989,1.80757,"2020-10-04 13:30:00",0.2248,0.2552,0.52
"27","15166",TRUE,117,Bayern Munich,BAY,122,Hertha Berlin,HER,4,3,3.99311,1.24509,"2020-10-04 16:00:00",0.9187,0.0589,0.0224
"28","15167",TRUE,120,Hoffenheim,HOF,129,Borussia Dortmund,DOR,0,1,0.877373,1.84829,"2020-10-17 13:30:00",0.1453,0.2284,0.6263
"29","15168",TRUE,135,Freiburg,FRE,123,Werder Bremen,WER,1,1,1.05894,1.6646,"2020-10-17 13:30:00",0.2016,0.2555,0.5429
"30","15169",TRUE,122,Hertha Berlin,HER,133,VfB Stuttgart,STU,0,2,1.42805,1.40822,"2020-10-17 13:30:00",0.3483,0.2939,0.3578
"31","15170",TRUE,121,Augsburg,AUG,136,RasenBallsport Leipzig,RBL,0,2,0.550472,2.39694,"2020-10-17 13:30:00",0.0332,0.1148,0.852
"32","15171",TRUE,125,Mainz 05,MAI,119,Bayer Leverkusen,LEV,0,1,0.214962,0.454109,"2020-10-17 13:30:00",0.1276,0.5568,0.3156
"33","15172",TRUE,262,Arminia Bielefeld,,117,Bayern Munich,BAY,1,4,1.21235,3.29447,"2020-10-17 16:30:00",0.0544,0.1083,0.8373
"34","15173",TRUE,130,Borussia M.Gladbach,BMG,131,Wolfsburg,WOL,1,1,2.11077,1.34469,"2020-10-17 18:30:00",0.5864,0.2255,0.1881
"35","15174",TRUE,134,FC Cologne,COL,132,Eintracht Frankfurt,EIN,1,1,1.41695,1.54892,"2020-10-18 13:30:00",0.3073,0.3044,0.3883
"36","15175",TRUE,124,Schalke 04,SCH,240,Union Berlin,UNI,1,1,0.250814,0.831403,"2020-10-18 16:00:00",0.0949,0.3853,0.5198
"37","15176",TRUE,133,VfB Stuttgart,STU,134,FC Cologne,COL,1,1,0.722179,2.37516,"2020-10-23 18:30:00",0.0508,0.1333,0.8159
"38","15177",TRUE,240,Union Berlin,UNI,135,Freiburg,FRE,1,1,1.28488,0.271576,"2020-10-24 13:30:00",0.6991,0.2481,0.0528
"39","15178",TRUE,125,Mainz 05,MAI,130,Borussia M.Gladbach,BMG,2,3,1.90042,3.07629,"2020-10-24 13:30:00",0.1678,0.1842,0.648
"40","15179",TRUE,136,RasenBallsport Leipzig,RBL,122,Hertha Berlin,HER,2,1,2.68523,0.802136,"2020-10-24 13:30:00",0.8265,0.1225,0.051
"41","15180",TRUE,117,Bayern Munich,BAY,132,Eintracht Frankfurt,EIN,5,0,3.80823,0.429229,"2020-10-24 13:30:00",0.9632,0.0304,0.0064
