"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"1","14086",TRUE,228,Fulham,FLH,83,Arsenal,ARS,0,3,0.126327,2.16287,"2020-09-12 11:30:00",0.0037,0.0476,0.9487
"2","14087",TRUE,78,Crystal Palace,CRY,74,Southampton,SOU,1,0,1.39569,1.26267,"2020-09-12 14:00:00",0.3916,0.3022,0.3062
"3","14090",TRUE,87,Liverpool,LIV,245,Leeds,LED,4,3,3.15412,0.269813,"2020-09-12 16:30:00",0.9658,0.0296,0.0046
"4","14091",TRUE,81,West Ham,WHU,86,Newcastle United,NEW,0,2,0.861445,1.65911,"2020-09-12 19:00:00",0.1506,0.248,0.6014
"5","14092",TRUE,76,West Bromwich Albion,WBA,75,Leicester,LEI,0,3,0.352997,2.95581,"2020-09-13 13:00:00",0.007,0.0358,0.9572
"6","14093",TRUE,82,Tottenham,TOT,72,Everton,EVE,0,1,0.822944,1.26793,"2020-09-13 15:30:00",0.22,0.2977,0.4823
"7","14094",TRUE,238,Sheffield United,SHE,229,Wolverhampton Wanderers,WOL,0,2,0.949316,1.61307,"2020-09-14 17:00:00",0.1683,0.2906,0.5411
"8","14095",TRUE,220,Brighton,BRI,80,Chelsea,CHE,1,3,1.44281,1.27062,"2020-09-14 19:15:00",0.3871,0.3153,0.2976
"9","14096",TRUE,72,Everton,EVE,76,West Bromwich Albion,WBA,5,2,4.16254,0.315347,"2020-09-19 11:30:00",0.9973,0.0022,0.0005
"10","14097",TRUE,245,Leeds,LED,228,Fulham,FLH,4,3,1.45254,1.55503,"2020-09-19 14:00:00",0.3157,0.3137,0.3706
"11","14098",TRUE,89,Manchester United,MUN,78,Crystal Palace,CRY,1,3,1.09737,1.91456,"2020-09-19 16:30:00",0.1695,0.2378,0.5927
"12","14099",TRUE,83,Arsenal,ARS,81,West Ham,WHU,2,1,1.32902,2.06377,"2020-09-19 19:00:00",0.1916,0.2407,0.5677
"13","14100",TRUE,74,Southampton,SOU,82,Tottenham,TOT,2,5,2.27708,2.28004,"2020-09-20 11:00:00",0.3533,0.2765,0.3702
"14","14101",TRUE,86,Newcastle United,NEW,220,Brighton,BRI,0,3,0.520678,1.8766,"2020-09-20 13:00:00",0.0459,0.1757,0.7784
"15","14102",TRUE,80,Chelsea,CHE,87,Liverpool,LIV,0,2,0.904183,2.25211,"2020-09-20 15:30:00",0.0572,0.195,0.7478
"16","14103",TRUE,75,Leicester,LEI,92,Burnley,BUR,4,2,0.987365,1.52404,"2020-09-20 18:00:00",0.2291,0.2639,0.507
"17","14104",TRUE,71,Aston Villa,AVL,238,Sheffield United,SHE,1,0,0.80527,0.849709,"2020-09-21 17:00:00",0.2616,0.3753,0.3631
"18","14105",TRUE,229,Wolverhampton Wanderers,WOL,88,Manchester City,MCI,1,3,0.727677,2.07651,"2020-09-21 19:15:00",0.0838,0.1706,0.7456
"19","14106",TRUE,220,Brighton,BRI,89,Manchester United,MUN,2,3,2.97659,1.57583,"2020-09-26 11:30:00",0.7204,0.1779,0.1017
"20","14107",TRUE,78,Crystal Palace,CRY,72,Everton,EVE,1,2,0.443115,2.27189,"2020-09-26 14:00:00",0.0286,0.1089,0.8625
"21","14108",TRUE,76,West Bromwich Albion,WBA,80,Chelsea,CHE,3,3,0.911185,2.36046,"2020-09-26 16:30:00",0.0777,0.1726,0.7497
"22","14109",TRUE,92,Burnley,BUR,74,Southampton,SOU,0,1,0.347136,0.706632,"2020-09-26 19:00:00",0.1508,0.4188,0.4304
"23","14110",TRUE,238,Sheffield United,SHE,245,Leeds,LED,0,1,1.53278,1.46641,"2020-09-27 11:00:00",0.3921,0.2709,0.337
"24","14111",TRUE,82,Tottenham,TOT,86,Newcastle United,NEW,1,1,3.18765,0.942726,"2020-09-27 13:00:00",0.886,0.0894,0.0246
"25","14112",TRUE,88,Manchester City,MCI,75,Leicester,LEI,2,5,1.44633,2.86721,"2020-09-27 15:30:00",0.0894,0.1492,0.7614
"26","14113",TRUE,81,West Ham,WHU,229,Wolverhampton Wanderers,WOL,4,0,3.05703,0.385152,"2020-09-27 18:00:00",0.9395,0.0484,0.0121
"27","14114",TRUE,228,Fulham,FLH,71,Aston Villa,AVL,0,3,0.534675,2.03222,"2020-09-28 17:00:00",0.0665,0.1687,0.7648
"28","14115",TRUE,87,Liverpool,LIV,83,Arsenal,ARS,3,1,2.73834,1.17817,"2020-09-28 19:15:00",0.7546,0.1695,0.0759
"29","14467",TRUE,80,Chelsea,CHE,78,Crystal Palace,CRY,4,0,2.51433,0.103249,"2020-10-03 11:30:00",0.9641,0.034,0.0019
"30","14468",TRUE,72,Everton,EVE,220,Brighton,BRI,4,2,2.34034,1.16568,"2020-10-03 14:00:00",0.6864,0.2051,0.1085
"31","14469",TRUE,245,Leeds,LED,88,Manchester City,MCI,1,1,2.56662,1.41533,"2020-10-03 16:30:00",0.6582,0.1825,0.1593
"32","14472",TRUE,86,Newcastle United,NEW,92,Burnley,BUR,3,1,1.95629,0.438849,"2020-10-03 19:00:00",0.8267,0.1338,0.0395
"33","14470",TRUE,75,Leicester,LEI,81,West Ham,WHU,0,3,0.456022,2.03227,"2020-10-04 11:00:00",0.0488,0.163,0.7882
"34","14473",TRUE,74,Southampton,SOU,76,West Bromwich Albion,WBA,2,0,0.949079,0.161283,"2020-10-04 11:00:00",0.5842,0.3636,0.0522
"35","14465",TRUE,83,Arsenal,ARS,238,Sheffield United,SHE,2,1,0.667131,0.144994,"2020-10-04 13:00:00",0.481,0.4495,0.0695
"36","14474",TRUE,229,Wolverhampton Wanderers,WOL,228,Fulham,FLH,1,0,0.89359,0.969393,"2020-10-04 13:00:00",0.2918,0.3533,0.3549
"37","14471",TRUE,89,Manchester United,MUN,82,Tottenham,TOT,1,6,0.873435,3.3017,"2020-10-04 15:30:00",0.0166,0.0804,0.903
"38","14466",TRUE,71,Aston Villa,AVL,87,Liverpool,LIV,7,2,3.07626,1.65705,"2020-10-04 18:15:00",0.6988,0.1605,0.1407
"39","14477",TRUE,72,Everton,EVE,87,Liverpool,LIV,2,2,1.35998,2.49492,"2020-10-17 11:30:00",0.1599,0.1957,0.6444
"40","14475",TRUE,80,Chelsea,CHE,74,Southampton,SOU,3,3,1.98708,1.42348,"2020-10-17 14:00:00",0.5201,0.2782,0.2017
"41","14480",TRUE,88,Manchester City,MCI,83,Arsenal,ARS,1,0,1.43023,0.838322,"2020-10-17 16:30:00",0.5302,0.2829,0.1869
"42","14481",TRUE,86,Newcastle United,NEW,89,Manchester United,MUN,1,4,0.867496,2.21729,"2020-10-17 19:00:00",0.0765,0.1952,0.7283
"43","14482",TRUE,238,Sheffield United,SHE,228,Fulham,FLH,1,1,1.66363,1.35611,"2020-10-18 11:00:00",0.4387,0.3183,0.243
"44","14476",TRUE,78,Crystal Palace,CRY,220,Brighton,BRI,1,1,0.761169,1.0935,"2020-10-18 13:00:00",0.2443,0.3704,0.3853
"45","14483",TRUE,82,Tottenham,TOT,81,West Ham,WHU,3,3,1.77602,1.49992,"2020-10-18 15:30:00",0.4284,0.2958,0.2758
"46","14479",TRUE,75,Leicester,LEI,71,Aston Villa,AVL,0,1,0.671595,0.873776,"2020-10-18 18:15:00",0.2525,0.3567,0.3908
"47","14484",TRUE,76,West Bromwich Albion,WBA,92,Burnley,BUR,0,0,0.731692,1.08532,"2020-10-19 16:30:00",0.2211,0.3288,0.4501
"48","14478",TRUE,245,Leeds,LED,229,Wolverhampton Wanderers,WOL,0,1,1.08332,0.618191,"2020-10-19 19:00:00",0.4733,0.3334,0.1933
"49","14486",TRUE,71,Aston Villa,AVL,245,Leeds,LED,0,3,1.50125,2.37695,"2020-10-23 19:00:00",0.2041,0.2113,0.5846
"50","14493",TRUE,81,West Ham,WHU,88,Manchester City,MCI,1,1,0.263739,0.892456,"2020-10-24 11:30:00",0.0966,0.3869,0.5165
"51","14489",TRUE,228,Fulham,FLH,78,Crystal Palace,CRY,1,2,1.05258,2.81049,"2020-10-24 14:00:00",0.0666,0.1314,0.802
"52","14491",TRUE,89,Manchester United,MUN,80,Chelsea,CHE,0,0,0.648427,0.219906,"2020-10-24 16:30:00",0.4197,0.4747,0.1056
"53","14490",TRUE,87,Liverpool,LIV,238,Sheffield United,SHE,2,1,2.40286,1.39788,"2020-10-24 19:00:00",0.6498,0.2161,0.1341
"54","14492",TRUE,74,Southampton,SOU,72,Everton,EVE,2,0,0.74151,0.287054,"2020-10-25 14:00:00",0.4409,0.4299,0.1292
"55","14494",TRUE,229,Wolverhampton Wanderers,WOL,86,Newcastle United,NEW,1,1,0.758626,0.253685,"2020-10-25 16:30:00",0.4507,0.4333,0.116
