"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"1","14116",TRUE,110,Fiorentina,FIO,113,Torino,TOR,1,0,2.35462,0.617878,"2020-09-19 16:00:00",0.8292,0.1321,0.0387
"2","14117",TRUE,94,Verona,VER,95,Roma,ROM,0,0,0.910773,1.77959,"2020-09-19 18:45:00",0.1573,0.2477,0.595
"3","14118",TRUE,230,Parma Calcio 1913,PAR,105,Napoli,NAP,0,2,0.160985,1.54079,"2020-09-20 10:30:00",0.013,0.1221,0.8649
"4","14119",TRUE,101,Genoa,GEN,115,Crotone,CRO,4,1,2.23283,1.32278,"2020-09-20 13:00:00",0.6079,0.2131,0.179
"5","14120",TRUE,104,Sassuolo,SAS,116,Cagliari,CAG,1,1,2.0285,0.95973,"2020-09-20 16:00:00",0.6318,0.2302,0.138
"6","14121",TRUE,98,Juventus,JUV,102,Sampdoria,SAM,3,0,2.14288,0.606523,"2020-09-20 18:45:00",0.8007,0.1501,0.0492
"7","14122",TRUE,111,AC Milan,MIL,97,Bologna,BOL,2,0,2.94224,0.825483,"2020-09-21 18:45:00",0.8582,0.1002,0.0416
"8","14123",TRUE,113,Torino,TOR,107,Atalanta,ATA,2,4,0.773914,2.47087,"2020-09-26 13:00:00",0.0674,0.152,0.7806
"9","14124",TRUE,116,Cagliari,CAG,96,Lazio,LAZ,0,2,0.91566,1.99417,"2020-09-26 16:00:00",0.1028,0.223,0.6742
"10","14125",TRUE,102,Sampdoria,SAM,222,Benevento,BEN,2,3,1.36058,1.27481,"2020-09-26 16:00:00",0.3697,0.3209,0.3094
"11","14126",TRUE,106,Inter,INT,110,Fiorentina,FIO,4,3,1.69563,2.25332,"2020-09-26 18:45:00",0.2558,0.2232,0.521
"12","14127",TRUE,260,Spezia,,104,Sassuolo,SAS,1,4,1.29116,2.6497,"2020-09-27 10:30:00",0.1167,0.1836,0.6997
"13","14129",TRUE,94,Verona,VER,99,Udinese,UDI,1,0,1.35384,2.14756,"2020-09-27 13:00:00",0.197,0.2283,0.5747
"14","14128",TRUE,105,Napoli,NAP,101,Genoa,GEN,6,0,2.34102,0.265594,"2020-09-27 16:00:00",0.8783,0.103,0.0187
"15","14130",TRUE,115,Crotone,CRO,111,AC Milan,MIL,0,2,0.107055,2.43073,"2020-09-27 16:00:00",0.0028,0.0404,0.9568
"16","14131",TRUE,95,Roma,ROM,98,Juventus,JUV,2,2,2.81817,1.90728,"2020-09-27 18:45:00",0.6087,0.2204,0.1709
"17","14132",TRUE,97,Bologna,BOL,230,Parma Calcio 1913,PAR,4,1,2.04715,1.2448,"2020-09-28 18:45:00",0.5758,0.231,0.1932
"18","14133",TRUE,222,Benevento,BEN,106,Inter,INT,2,5,1.2507,4.53244,"2020-09-30 16:00:00",0.0095,0.0348,0.9557
"19","14134",TRUE,99,Udinese,UDI,260,Spezia,,0,2,1.86648,0.812849,"2020-09-30 16:00:00",0.6609,0.2297,0.1094
"20","14135",TRUE,96,Lazio,LAZ,107,Atalanta,ATA,1,4,1.80375,1.89667,"2020-09-30 18:45:00",0.354,0.2486,0.3974
"21","15446",TRUE,110,Fiorentina,FIO,102,Sampdoria,SAM,1,2,2.02799,2.18148,"2020-10-02 18:45:00",0.3459,0.239,0.4151
"22","15447",TRUE,104,Sassuolo,SAS,115,Crotone,CRO,4,1,1.85563,1.5945,"2020-10-03 13:00:00",0.4334,0.2955,0.2711
"23","15449",TRUE,99,Udinese,UDI,95,Roma,ROM,0,1,1.66689,0.762958,"2020-10-03 18:45:00",0.6259,0.2368,0.1373
"24","15450",TRUE,107,Atalanta,ATA,116,Cagliari,CAG,5,2,3.60777,0.655559,"2020-10-04 10:30:00",0.9474,0.0418,0.0108
"25","15451",TRUE,222,Benevento,BEN,97,Bologna,BOL,1,0,0.8907,1.82239,"2020-10-04 13:00:00",0.1397,0.2386,0.6217
"26","15452",TRUE,96,Lazio,LAZ,106,Inter,INT,1,1,1.20722,0.719092,"2020-10-04 13:00:00",0.4901,0.3016,0.2083
"27","15453",TRUE,230,Parma Calcio 1913,PAR,94,Verona,VER,1,0,1.23442,0.633776,"2020-10-04 13:00:00",0.535,0.3072,0.1578
"28","15454",TRUE,111,AC Milan,MIL,260,Spezia,,3,0,2.64977,0.152433,"2020-10-04 16:00:00",0.9681,0.0297,0.0022
"29","15455",FALSE,98,Juventus,JUV,105,Napoli,NAP,NA,NA,NA,NA,"2020-10-04 18:45:00",NA,NA,NA
"30","15456",TRUE,105,Napoli,NAP,107,Atalanta,ATA,4,1,1.17201,0.640405,"2020-10-17 13:00:00",0.4924,0.31,0.1976
"31","15457",TRUE,106,Inter,INT,111,AC Milan,MIL,1,2,2.54683,2.06232,"2020-10-17 16:00:00",0.4905,0.2408,0.2687
"32","15458",TRUE,102,Sampdoria,SAM,96,Lazio,LAZ,3,0,1.83414,0.454609,"2020-10-17 16:00:00",0.7724,0.1717,0.0559
