"","id","fid","h","a","date","league_id","season","h_goals","a_goals","team_h","team_a","h_xg","a_xg","h_w","h_d","h_l","league","h_shot","a_shot","h_shotOnTarget","a_shotOnTarget","h_deep","a_deep","a_ppda","h_ppda"
"1","14173","1480995","117","124","2020-09-18 18:30:00","3","2020","8","0","Bayern Munich","Schalke 04","4.62088","0.14975","0.9948","0.0046","0.0006","Bundesliga","21","5","12","1","24","3","25.3333","6.3438"
"1","14174","1480999","132","262","2020-09-19 13:30:00","3","2020","1","1","Eintracht Frankfurt","Arminia Bielefeld","2.46928","0.618787","0.8454","0.1158","0.0388","Bundesliga","18","13","6","4","9","2","12.4400","6.7692"
"1","14175","1481000","240","121","2020-09-19 13:30:00","3","2020","1","3","Union Berlin","Augsburg","1.04515","1.42046","0.243","0.2882","0.4688","Bundesliga","15","9","3","5","1","0","21.2500","13.2222"
"1","14176","1481001","134","120","2020-09-19 13:30:00","3","2020","2","3","FC Cologne","Hoffenheim","2.40801","2.9032","0.2453","0.253","0.5017","Bundesliga","13","13","6","7","5","10","11.5417","11.9130"
"1","14177","1481002","123","122","2020-09-19 13:30:00","3","2020","1","4","Werder Bremen","Hertha Berlin","0.495892","2.05406","0.0616","0.1641","0.7743","Bundesliga","16","13","6","6","6","3","4.7941","12.0909"
"1","14178","1481003","133","135","2020-09-19 13:30:00","3","2020","2","3","VfB Stuttgart","Freiburg","2.15741","2.07011","0.3889","0.2421","0.369","Bundesliga","26","7","7","6","12","4","12.1111","7.6190"
"1","14179","1480996","129","130","2020-09-19 16:30:00","3","2020","3","0","Borussia Dortmund","Borussia M.Gladbach","1.70398","0.510293","0.7372","0.2031","0.0597","Bundesliga","10","8","4","2","7","5","12.1000","28.7692"
"1","14180","1480997","136","125","2020-09-20 13:30:00","3","2020","3","1","RasenBallsport Leipzig","Mainz 05","3.22891","1.07201","0.8409","0.1113","0.0478","Bundesliga","23","9","10","1","14","2","29.5882","6.1852"
"1","14181","1480998","131","119","2020-09-20 16:00:00","3","2020","0","0","Wolfsburg","Bayer Leverkusen","1.27652","0.441229","0.6238","0.2774","0.0988","Bundesliga","9","7","1","3","7","8","11.8750","11.6452"
"1","14182","1481008","122","132","2020-09-25 18:30:00","3","2020","1","3","Hertha Berlin","Eintracht Frankfurt","1.55994","1.62111","0.3391","0.2951","0.3658","Bundesliga","12","11","6","3","3","6","15.8000","13.4375"
"1","14183","1481010","125","133","2020-09-26 13:30:00","3","2020","1","4","Mainz 05","VfB Stuttgart","1.04484","2.9689","0.0465","0.1219","0.8316","Bundesliga","12","15","2","7","3","8","9.8846","11.2609"
