"","id","fid","h","a","date","league_id","season","h_goals","a_goals","team_h","team_a","h_xg","a_xg","h_w","h_d","h_l","league","h_shot","a_shot","h_shotOnTarget","a_shotOnTarget","h_deep","a_deep","a_ppda","h_ppda"
"1","13977","1463920","176","168","2020-08-21 17:00:00","5","2020","0","0","Bordeaux","Nantes","0.600075","0.187821","0.474","0.4393","0.0867","Ligue 1","5","6","1","1","0","2","13.0000","24.4615"
"1","13978","1463921","181","167","2020-08-22 15:00:00","5","2020","0","1","Dijon","Angers","0.739709","2.02214","0.0751","0.1964","0.7285","Ligue 1","9","12","1","4","5","6","24.1250","22.0000"
"1","13979","1463922","160","163","2020-08-22 19:00:00","5","2020","1","1","Lille","Rennes","0.400974","1.29518","0.0851","0.2804","0.6345","Ligue 1","5","16","1","3","1","6","23.0714","16.5000"
"1","13982","1463925","171","177","2020-08-23 11:00:00","5","2020","2","2","Monaco","Reims","2.67622","1.83257","0.5783","0.203","0.2187","Ligue 1","22","9","5","3","14","3","21.1905","3.7879"
"1","13980","1463923","179","225","2020-08-23 13:00:00","5","2020","3","1","Lorient","Strasbourg","3.07214","0.326826","0.9619","0.0328","0.0053","Ligue 1","10","7","7","1","2","4","17.4000","7.1714"
"1","13985","1463928","235","241","2020-08-23 13:00:00","5","2020","4","0","Nimes","Brest","2.14597","0.468011","0.8069","0.1437","0.0494","Ligue 1","12","10","5","3","7","4","6.0667","8.2069"
"1","13984","1463927","170","210","2020-08-23 15:00:00","5","2020","2","1","Nice","Lens","0.180464","3.03614","0.0009","0.0176","0.9815","Ligue 1","4","17","2","4","3","5","12.4138","7.2667"
"1","13990","1463933","178","181","2020-08-28 19:00:00","5","2020","4","1","Lyon","Dijon","3.97148","0.215658","0.9895","0.0093","0.0012","Ligue 1","27","6","12","2","15","0","28.6000","6.0000"
"1","13994","1463937","163","166","2020-08-29 15:00:00","5","2020","2","1","Rennes","Montpellier","1.78715","0.491784","0.7173","0.199","0.0837","Ligue 1","16","11","7","3","7","2","13.2667","5.1071"
"1","13996","1463939","225","170","2020-08-29 19:00:00","5","2020","0","2","Strasbourg","Nice","0.227899","1.20894","0.037","0.2202","0.7428","Ligue 1","6","3","0","2","4","1","12.7619","16.2800"
