"","id","fid","h","a","date","league_id","season","h_goals","a_goals","team_h","team_a","h_xg","a_xg","h_w","h_d","h_l","league","h_shot","a_shot","h_shotOnTarget","a_shotOnTarget","h_deep","a_deep","a_ppda","h_ppda"
"1","12403","1388146","117","122","2019-08-16 19:30:00","3","2019","2","2","Bayern Munich","Hertha Berlin","2.47707","1.18459","0.7206","0.1958","0.0836","Bundesliga","17","6","7","3","17","2","16.2174","10.5000"
"1","12404","1388143","123","233","2019-08-17 14:30:00","3","2019","1","3","Werder Bremen","Fortuna Duesseldorf","2.0112","1.01536","0.6236","0.2279","0.1485","Bundesliga","24","12","10","7","14","7","21.0000","11.8667"
"1","12405","1388144","135","125","2019-08-17 14:30:00","3","2019","3","0","Freiburg","Mainz 05","1.88401","0.784216","0.6829","0.2087","0.1084","Bundesliga","19","19","8","5","3","8","10.3913","20.2000"
"1","12406","1388138","129","121","2019-08-17 14:30:00","3","2019","5","1","Borussia Dortmund","Augsburg","3.25906","0.904482","0.8839","0.0876","0.0285","Bundesliga","22","5","10","1","14","3","22.6667","5.9130"
"1","12407","1388139","119","205","2019-08-17 14:30:00","3","2019","3","2","Bayer Leverkusen","Paderborn","2.47615","1.20475","0.731","0.1972","0.0718","Bundesliga","13","9","4","6","9","2","17.3793","3.8387"
"1","12408","1388141","131","134","2019-08-17 14:30:00","3","2019","2","1","Wolfsburg","FC Cologne","0.9793","0.662001","0.4219","0.3539","0.2242","Bundesliga","15","11","5","2","5","2","7.1034","8.5556"
"1","12409","1388140","130","124","2019-08-17 17:30:00","3","2019","0","0","Borussia M.Gladbach","Schalke 04","1.43141","0.760773","0.5547","0.2717","0.1736","Bundesliga","16","8","4","1","7","5","15.2857","5.7576"
"1","12410","1388142","132","120","2019-08-18 14:30:00","3","2019","1","0","Eintracht Frankfurt","Hoffenheim","1.8214","0.634831","0.7078","0.2046","0.0876","Bundesliga","15","9","8","1","4","4","6.4444","11.4545"
"1","12411","1388145","240","136","2019-08-18 17:00:00","3","2019","0","4","Union Berlin","RasenBallsport Leipzig","0.782907","3.93387","0.0132","0.0368","0.95","Bundesliga","13","14","2","8","2","12","8.2273","15.7692"
"1","12412","1388154","134","129","2019-08-23 19:30:00","3","2019","1","3","FC Cologne","Borussia Dortmund","0.937461","2.08181","0.1045","0.2058","0.6897","Bundesliga","13","14","1","6","2","6","4.5652","16.6250"
"1","12413","1388155","205","135","2019-08-24 14:30:00","3","2019","1","3","Paderborn","Freiburg","1.81166","2.38424","0.2365","0.2262","0.5373","Bundesliga","16","9","2","4","4","7","14.4706","5.5588"
"1","12414","1388148","120","123","2019-08-24 14:30:00","3","2019","3","2","Hoffenheim","Werder Bremen","1.05096","0.841426","0.4031","0.3288","0.2681","Bundesliga","10","18","3","6","4","3","16.5263","10.5000"
"1","12415","1388149","233","119","2019-08-24 14:30:00","3","2019","1","3","Fortuna Duesseldorf","Bayer Leverkusen","1.12017","1.82469","0.1953","0.2461","0.5586","Bundesliga","12","12","6","7","4","7","5.1379","18.7600"
"1","12416","1388151","125","130","2019-08-24 14:30:00","3","2019","1","3","Mainz 05","Borussia M.Gladbach","1.81289","2.09431","0.3105","0.2359","0.4536","Bundesliga","21","15","4","6","5","9","10.7222","8.1724"
"1","12417","1388153","121","240","2019-08-24 14:30:00","3","2019","1","1","Augsburg","Union Berlin","1.37579","0.891198","0.4884","0.3129","0.1987","Bundesliga","12","11","4","1","3","2","6.9310","6.1111"
"1","12418","1388152","124","117","2019-08-24 17:30:00","3","2019","0","3","Schalke 04","Bayern Munich","1.08016","1.59729","0.2075","0.2753","0.5172","Bundesliga","11","10","2","6","6","9","9.6842","18.2800"
"1","12419","1388147","136","132","2019-08-25 14:30:00","3","2019","2","1","RasenBallsport Leipzig","Eintracht Frankfurt","1.77604","0.935237","0.6109","0.2393","0.1498","Bundesliga","12","10","5","5","2","4","9.2963","13.8636"
"1","12420","1388150","122","131","2019-08-25 17:00:00","3","2019","0","3","Hertha Berlin","Wolfsburg","0.936557","1.33245","0.2245","0.3142","0.4613","Bundesliga","9","10","2","4","10","5","11.3077","7.9615"
"1","12421","1388158","130","136","2019-08-30 19:30:00","3","2019","1","3","Borussia M.Gladbach","RasenBallsport Leipzig","1.4586","3.13131","0.0754","0.1511","0.7735","Bundesliga","12","14","3","6","4","7","8.1667","8.2857"
"1","12422","1388159","131","205","2019-08-31 14:30:00","3","2019","1","1","Wolfsburg","Paderborn","0.996067","0.492299","0.497","0.3343","0.1687","Bundesliga","16","8","5","3","9","6","10.2581","4.7778"
"1","12423","1388162","135","134","2019-08-31 14:30:00","3","2019","1","2","Freiburg","FC Cologne","0.838391","1.62928","0.136","0.2447","0.6193","Bundesliga","15","10","1","3","1","3","6.5882","11.4375"
"1","12424","1388163","124","122","2019-08-31 14:30:00","3","2019","3","0","Schalke 04","Hertha Berlin","1.16546","0.771094","0.4742","0.3152","0.2106","Bundesliga","9","10","2","3","7","6","21.3750","11.7727"
"1","12425","1388156","117","125","2019-08-31 14:30:00","3","2019","6","1","Bayern Munich","Mainz 05","3.34597","0.72047","0.9165","0.0653","0.0182","Bundesliga","18","7","10","4","8","2","20.3500","5.3548"
"1","12426","1388157","119","120","2019-08-31 14:30:00","3","2019","0","0","Bayer Leverkusen","Hoffenheim","0.936475","0.450548","0.4701","0.3677","0.1622","Bundesliga","20","6","2","1","8","1","20.8333","7.6923"
"1","12427","1388164","240","129","2019-08-31 17:30:00","3","2019","3","1","Union Berlin","Borussia Dortmund","1.4209","1.60213","0.2902","0.3058","0.404","Bundesliga","15","13","7","2","2","12","8.2308","23.7368"
"1","12428","1388161","123","121","2019-09-01 14:30:00","3","2019","3","2","Werder Bremen","Augsburg","2.46951","1.48072","0.6335","0.223","0.1435","Bundesliga","15","12","5","6","5","5","18.8750","8.8125"
"1","12429","1388160","132","233","2019-09-01 17:00:00","3","2019","2","1","Eintracht Frankfurt","Fortuna Duesseldorf","1.75705","0.759809","0.65","0.2266","0.1234","Bundesliga","14","14","8","4","2","3","12.4091","6.2273"
"1","12430","1388168","233","131","2019-09-13 18:30:00","3","2019","1","1","Fortuna Duesseldorf","Wolfsburg","0.679763","2.28602","0.0539","0.1372","0.8089","Bundesliga","12","15","3","6","4","3","6.8889","14.9048"
"1","12431","1388169","125","122","2019-09-14 13:30:00","3","2019","2","1","Mainz 05","Hertha Berlin","1.1162","2.07839","0.1585","0.2323","0.6092","Bundesliga","12","16","5","8","4","8","14.8333","10.5217"
"1","12432","1388170","121","132","2019-09-14 13:30:00","3","2019","2","1","Augsburg","Eintracht Frankfurt","1.58878","0.899696","0.5617","0.2518","0.1865","Bundesliga","8","22","6","3","3","9","6.1667","18.4000"
"1","12433","1388171","134","130","2019-09-14 13:30:00","3","2019","0","1","FC Cologne","Borussia M.Gladbach","0.841764","1.55336","0.1761","0.2557","0.5682","Bundesliga","14","15","7","4","8","7","6.1818","5.1111"
"1","12434","1388173","240","123","2019-09-14 13:30:00","3","2019","1","2","Union Berlin","Werder Bremen","1.98106","2.14722","0.3166","0.2848","0.3986","Bundesliga","13","16","5","7","5","6","9.1176","8.7692"
"1","12435","1388165","129","119","2019-09-14 13:30:00","3","2019","4","0","Borussia Dortmund","Bayer Leverkusen","3.23112","1.14812","0.8574","0.1039","0.0387","Bundesliga","9","12","7","2","9","3","6.9200","16.6071"
"1","12436","1388166","136","117","2019-09-14 16:30:00","3","2019","1","1","RasenBallsport Leipzig","Bayern Munich","1.65427","1.6704","0.3661","0.265","0.3689","Bundesliga","13","14","6","7","7","10","9.1429","17.1786"
"1","12437","1388167","120","135","2019-09-15 13:30:00","3","2019","0","3","Hoffenheim","Freiburg","1.10385","1.78643","0.2205","0.2374","0.5421","Bundesliga","23","18","5","8","11","5","21.8750","6.7368"
"1","12438","1388172","205","124","2019-09-15 16:00:00","3","2019","1","5","Paderborn","Schalke 04","1.39508","1.9184","0.2442","0.2595","0.4963","Bundesliga","11","17","1","11","3","14","7.7407","8.5000"
"1","12439","1388182","124","125","2019-09-20 18:30:00","3","2019","2","1","Schalke 04","Mainz 05","0.873048","0.985151","0.3071","0.3177","0.3752","Bundesliga","18","14","6","3","6","6","7.1250","8.3333"
"1","12440","1388180","122","205","2019-09-21 13:30:00","3","2019","2","1","Hertha Berlin","Paderborn","0.983173","1.89015","0.1479","0.2316","0.6205","Bundesliga","6","18","4","8","4","8","5.8621","8.1892"
"1","12441","1388181","135","121","2019-09-21 13:30:00","3","2019","1","1","Freiburg","Augsburg","1.70133","0.884946","0.5992","0.2461","0.1547","Bundesliga","17","13","5","2","5","6","10.6800","7.0952"
"1","12442","1388174","117","134","2019-09-21 13:30:00","3","2019","4","0","Bayern Munich","FC Cologne","2.92351","1.03267","0.8058","0.1282","0.066","Bundesliga","25","14","5","2","12","7","14.5000","7.9200"
"1","12443","1388175","119","240","2019-09-21 13:30:00","3","2019","2","0","Bayer Leverkusen","Union Berlin","1.55742","0.125413","0.7868","0.1901","0.0231","Bundesliga","20","4","7","0","8","1","22.5200","9.5000"
"1","12444","1388179","123","136","2019-09-21 16:30:00","3","2019","0","3","Werder Bremen","RasenBallsport Leipzig","0.583174","1.72557","0.0911","0.2219","0.687","Bundesliga","8","14","1","7","9","8","9.7857","13.9524"
"1","12445","1388176","130","233","2019-09-22 13:30:00","3","2019","2","1","Borussia M.Gladbach","Fortuna Duesseldorf","4.2854","1.27666","0.9147","0.058","0.0273","Bundesliga","23","18","11","4","7","5","18.4000","9.8235"
"1","12446","1388178","132","129","2019-09-22 16:00:00","3","2019","2","2","Eintracht Frankfurt","Borussia Dortmund","1.15899","2.36595","0.1243","0.1931","0.6826","Bundesliga","18","16","3","7","1","6","7.9048","10.0500"
