"","X.1","match_id","id","minute","result","X","Y","xG","player","h_a","player_id","situation","season","shotType","match_id.1","h_team","a_team","h_goals","a_goals","date","player_assisted","lastAction","player_gametime"
"1",1,12403,310360,2,"SavedShot",0.783000030517578,0.542999992370605,0.0327525027096272,"Thiago Alcántara","h",229,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Serge Gnabry","Pass","NA"
"2",2,12403,310361,6,"MissedShots",0.815,0.430999984741211,0.0584453642368317,"Thomas Müller","h",224,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Serge Gnabry","Pass","NA"
"3",3,12403,310364,16,"SavedShot",0.936999969482422,0.394000015258789,0.0192932449281216,"Thomas Müller","h",224,"SetPiece",2019,"Head",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","David Alaba","Aerial","NA"
"4",4,12403,310365,23,"Goal",0.935999984741211,0.505,0.593660593032837,"Robert Lewandowski","h",227,"OpenPlay",2019,"LeftFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Serge Gnabry","Pass","NA"
"5",5,12403,310366,24,"SavedShot",0.909000015258789,0.287000007629395,0.0518977269530296,"Serge Gnabry","h",993,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Corentin Tolisso","Pass","NA"
"6",6,12403,310367,24,"BlockedShot",0.861999969482422,0.417999992370605,0.100943610072136,"Robert Lewandowski","h",227,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Joshua Kimmich","Pass","NA"
"7",7,12403,310368,27,"BlockedShot",0.869000015258789,0.332000007629395,0.0742076933383942,"Thomas Müller","h",224,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Kingsley Coman","Pass","NA"
"8",8,12403,310369,30,"BlockedShot",0.849000015258789,0.324000015258789,0.0765295848250389,"Robert Lewandowski","h",227,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Thomas Müller","Pass","NA"
"9",9,12403,310372,51,"SavedShot",0.92,0.617000007629395,0.296954482793808,"Kingsley Coman","h",226,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Serge Gnabry","Pass","NA"
"10",10,12403,310373,55,"SavedShot",0.749000015258789,0.318999996185303,0.0172013118863106,"Serge Gnabry","h",993,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Kingsley Coman","Pass","NA"
"11",11,12403,310374,59,"Goal",0.885,0.5,0.75777667760849,"Robert Lewandowski","h",227,"Penalty",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00",NA,"Standard","NA"
"12",12,12403,310375,70,"BlockedShot",0.791999969482422,0.427000007629395,0.0364076271653175,"Serge Gnabry","h",993,"OpenPlay",2019,"LeftFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00",NA,"None","NA"
"13",13,12403,310376,71,"MissedShots",0.88,0.397999992370605,0.0989687591791153,"Corentin Tolisso","h",3603,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Serge Gnabry","Pass","NA"
"14",14,12403,310379,78,"BlockedShot",0.961999969482422,0.394000015258789,0.0861031115055084,"Corentin Tolisso","h",3603,"FromCorner",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","David Alaba","HeadPass","NA"
"15",15,12403,310380,82,"BlockedShot",0.754000015258789,0.415,0.0667429491877556,"David Alaba","h",391,"DirectFreekick",2019,"LeftFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00",NA,"Standard","NA"
"16",16,12403,310381,84,"MissedShots",0.905,0.266000003814697,0.0321641825139523,"Serge Gnabry","h",993,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Corentin Tolisso","Chipped","NA"
"17",17,12403,310382,92,"MissedShots",0.95,0.46,0.0770207867026329,"Robert Lewandowski","h",227,"FromCorner",2019,"Head",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Joshua Kimmich","Aerial","NA"
"18",18,12403,310362,8,"SavedShot",0.805,0.615,0.0344041511416435,"Vedad Ibisevic","a",29,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Marko Grujic","Pass","NA"
"19",19,12403,310363,12,"MissedShots",0.915,0.607999992370605,0.11268337816,"Vedad Ibisevic","a",29,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Ondrej Duda","Pass","NA"
"20",20,12403,310370,35,"Goal",0.779000015258789,0.637000007629395,0.0262199006974697,"Dodi Lukebakio","a",5706,"OpenPlay",2019,"LeftFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Ondrej Duda","TakeOn","NA"
"21",21,12403,310371,37,"Goal",0.915999984741211,0.47,0.846870064735413,"Marko Grujic","a",1669,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00","Vedad Ibisevic","TakeOn","NA"
"22",22,12403,310377,76,"BlockedShot",0.795,0.497000007629395,0.124257355928421,"Ondrej Duda","a",5240,"DirectFreekick",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00",NA,"Standard","NA"
"23",23,12403,310378,76,"MissedShots",0.805999984741211,0.505999984741211,0.0401594117283821,"Ondrej Duda","a",5240,"SetPiece",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,"2019-08-16 19:30:00",NA,"None","NA"
"24",1,12404,310572,2,"BlockedShot",0.855999984741211,0.482000007629395,0.10336285084486,"Davy Klaassen","h",6045,"OpenPlay",2019,"RightFoot",12404,"Werder Bremen","Fortuna Duesseldorf",1,3,"2019-08-17 14:30:00","Johannes Eggestein","Pass","NA"
"25",2,12404,310573,3,"BlockedShot",0.768000030517578,0.645,0.017159691080451,"Maximilian Eggestein","h",125,"FromCorner",2019,"LeftFoot",12404,"Werder Bremen","Fortuna Duesseldorf",1,3,"2019-08-17 14:30:00",NA,"None","NA"
"26",3,12404,310574,3,"MissedShots",0.896999969482422,0.547999992370605,0.0537240020930767,"Theodor Gebre Selassie","h",110,"FromCorner",2019,"Head",12404,"Werder Bremen","Fortuna Duesseldorf",1,3,"2019-08-17 14:30:00","Nuri Sahin","Cross","NA"
"27",4,12404,310576,17,"MissedShots",0.895,0.48,0.28171306848526,"Ömer Toprak","h",184,"SetPiece",2019,"Head",12404,"Werder Bremen","Fortuna Duesseldorf",1,3,"2019-08-17 14:30:00","Nuri Sahin","Chipped","NA"
"28",5,12404,310577,25,"MissedShots",0.896999969482422,0.435,0.0161717440932989,"Theodor Gebre Selassie","h",110,"FromCorner",2019,"Head",12404,"Werder Bremen","Fortuna Duesseldorf",1,3,"2019-08-17 14:30:00","Nuri Sahin","Aerial","NA"
"29",6,12404,310578,31,"MissedShots",0.896999969482422,0.544000015258789,0.0796126499772072,"Yuya Osako","h",135,"OpenPlay",2019,"Head",12404,"Werder Bremen","Fortuna Duesseldorf",1,3,"2019-08-17 14:30:00","Milot Rashica","Cross","NA"
"30",7,12404,310579,34,"MissedShots",0.789000015258789,0.686999969482422,0.0140457414090633,"Maximilian Eggestein","h",125,"FromCorner",2019,"LeftFoot",12404,"Werder Bremen","Fortuna Duesseldorf",1,3,"2019-08-17 14:30:00",NA,"Aerial","NA"
"31",8,12404,310582,46,"Goal",0.915,0.545999984741211,0.0897035896778107,"Johannes Eggestein","h",6084,"OpenPlay",2019,"Head",12404,"Werder Bremen","Fortuna Duesseldorf",1,3,"2019-08-17 14:30:00","Milot Rashica","Cross","NA"
"32",9,12404,310584,49,"MissedShots",0.929000015258789,0.580999984741211,0.131085991859436,"Yuya Osako","h",135,"OpenPlay",2019,"LeftFoot",12404,"Werder Bremen","Fortuna Duesseldorf",1,3,"2019-08-17 14:30:00","Johannes Eggestein","Pass","NA"
"33",10,12404,310586,54,"BlockedShot",0.759000015258789,0.327999992370605,0.0151303373277187,"Davy Klaassen","h",6045,"OpenPlay",2019,"RightFoot",12404,"Werder Bremen","Fortuna Duesseldorf",1,3,"2019-08-17 14:30:00",NA,"None","NA"
