"","X.1","match_id","id","minute","result","X","Y","xG","player","h_a","player_id","situation","season","shotType","match_id.1","h_team","a_team","h_goals","a_goals","date","player_assisted","lastAction","gametime"
"1",16,12404,310595,69,"SavedShot",0.955999984741211,0.422999992370605,0.0631053447723389,"Niclas Füllkrug","h",6098,"OpenPlay",2019,"Head",12404,"Werder Bremen","Fortuna Duesseldorf",1,3,"2019-08-17 14:30:00","Davy Klaassen","Chipped",23
"2",20,12404,310603,85,"SavedShot",0.870999984741211,0.494000015258789,0.0492823235690594,"Niclas Füllkrug","h",6098,"SetPiece",2019,"Head",12404,"Werder Bremen","Fortuna Duesseldorf",1,3,"2019-08-17 14:30:00","Davy Klaassen","Chipped",23
"3",21,12404,310604,86,"BlockedShot",0.84,0.512999992370605,0.0548768043518066,"Niclas Füllkrug","h",6098,"OpenPlay",2019,"LeftFoot",12404,"Werder Bremen","Fortuna Duesseldorf",1,3,"2019-08-17 14:30:00",NA,"None",23
"4",23,12404,310606,88,"SavedShot",0.858000030517578,0.420999984741211,0.0207658726722002,"Joshua Sargent","h",7295,"OpenPlay",2019,"Head",12404,"Werder Bremen","Fortuna Duesseldorf",1,3,"2019-08-17 14:30:00","Nuri Sahin","Chipped",6
"5",24,12404,310607,93,"SavedShot",0.895,0.372999992370605,0.0584683157503605,"Joshua Sargent","h",7295,"OpenPlay",2019,"RightFoot",12404,"Werder Bremen","Fortuna Duesseldorf",1,3,"2019-08-17 14:30:00","Niclas Füllkrug","HeadPass",6
"6",17,12405,310642,80,"Goal",0.88,0.580999984741211,0.428948521614075,"Lucas Höler","h",6475,"OpenPlay",2019,"RightFoot",12405,"Freiburg","Mainz 05",3,0,"2019-08-17 14:30:00","Nils Petersen","TakeOn",24
"7",38,12405,310645,87,"MissedShots",0.76,0.472000007629395,0.0264876522123814,"Levin Öztunali","a",118,"OpenPlay",2019,"LeftFoot",12405,"Freiburg","Mainz 05",3,0,"2019-08-17 14:30:00","Aarón Martín","Pass",18
"8",19,12406,310669,83,"BlockedShot",0.926999969482422,0.681999969482422,0.0375789776444435,"Mario Götze","h",422,"FromCorner",2019,"RightFoot",12406,"Borussia Dortmund","Augsburg",5,1,"2019-08-17 14:30:00","Jadon Sancho","Cross",11
"9",18,12406,310668,81,"Goal",0.929000015258789,0.47,0.49899885058403,"Julian Brandt","h",261,"OpenPlay",2019,"LeftFoot",12406,"Borussia Dortmund","Augsburg",5,1,"2019-08-17 14:30:00","Axel Witsel","Chipped",21
"10",17,12406,310666,71,"MissedShots",0.935,0.375,0.447835773229599,"Achraf Hakimi","h",5197,"OpenPlay",2019,"RightFoot",12406,"Borussia Dortmund","Augsburg",5,1,"2019-08-17 14:30:00","Axel Witsel","Throughball",21
"11",27,12406,310667,73,"BlockedShot",0.888000030517578,0.243999996185303,0.0132502736523747,"Marco Richter","a",6357,"SetPiece",2019,"LeftFoot",12406,"Borussia Dortmund","Augsburg",5,1,"2019-08-17 14:30:00",NA,"Aerial",29
"12",14,12408,310718,90,"SavedShot",0.815,0.542000007629394,0.0572329685091972,"Josip Brekalo","h",5353,"OpenPlay",2019,"RightFoot",12408,"Wolfsburg","FC Cologne",2,1,"2019-08-17 14:30:00",NA,"None",7
"13",15,12408,310720,92,"MissedShots",0.890999984741211,0.804000015258789,0.0682351291179657,"Josip Brekalo","h",5353,"DirectFreekick",2019,"RightFoot",12408,"Wolfsburg","FC Cologne",2,1,"2019-08-17 14:30:00",NA,"Standard",7
