"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"1","13977",TRUE,176,Bordeaux,BOR,168,Nantes,NAN,0,0,0.600075,0.187821,"2020-08-21 17:00:00",0.474,0.4393,0.0867
"2","13978",TRUE,181,Dijon,DJN,167,Angers,ANG,0,1,0.739709,2.02214,"2020-08-22 15:00:00",0.0751,0.1964,0.7285
"3","13979",TRUE,160,Lille,LIL,163,Rennes,REN,1,1,0.400974,1.29518,"2020-08-22 19:00:00",0.0851,0.2804,0.6345
"4","13982",TRUE,171,Monaco,MON,177,Reims,REI,2,2,2.67622,1.83257,"2020-08-23 11:00:00",0.5783,0.203,0.2187
"5","13980",TRUE,179,Lorient,LOR,225,Strasbourg,STR,3,1,3.07214,0.326826,"2020-08-23 13:00:00",0.9619,0.0328,0.0053
"6","13985",TRUE,235,Nimes,NIM,241,Brest,BRE,4,0,2.14597,0.468011,"2020-08-23 13:00:00",0.8069,0.1437,0.0494
"7","13984",TRUE,170,Nice,NIC,210,Lens,LEN,2,1,0.180464,3.03614,"2020-08-23 15:00:00",0.0009,0.0176,0.9815
"8","13990",TRUE,178,Lyon,LYO,181,Dijon,DJN,4,1,3.97148,0.215658,"2020-08-28 19:00:00",0.9895,0.0093,0.0012
"9","13994",TRUE,163,Rennes,REN,166,Montpellier,MPL,2,1,1.78715,0.491784,"2020-08-29 15:00:00",0.7173,0.199,0.0837
"10","13996",TRUE,225,Strasbourg,STR,170,Nice,NIC,0,2,0.227899,1.20894,"2020-08-29 19:00:00",0.037,0.2202,0.7428
"11","13993",TRUE,177,Reims,REI,160,Lille,LIL,0,1,0.206627,0.906784,"2020-08-30 11:00:00",0.0757,0.3671,0.5572
"12","13987",TRUE,167,Angers,ANG,176,Bordeaux,BOR,0,2,0.511549,2.28529,"2020-08-30 13:00:00",0.0387,0.1255,0.8358
"13","13991",TRUE,180,Metz,MET,171,Monaco,MON,0,1,0.626118,0.189291,"2020-08-30 13:00:00",0.427,0.4756,0.0974
"14","13992",TRUE,168,Nantes,NAN,235,Nimes,NIM,2,1,2.15547,0.874864,"2020-08-30 13:00:00",0.7289,0.1752,0.0959
"15","13995",TRUE,175,Saint-Etienne,SEN,179,Lorient,LOR,2,0,1.39361,0.2149,"2020-08-30 13:00:00",0.7359,0.2188,0.0453
"16","13988",TRUE,241,Brest,BRE,164,Marseille,MAR,2,3,2.12594,1.32391,"2020-08-30 19:00:00",0.5863,0.2357,0.178
"17","13989",TRUE,210,Lens,LEN,161,Paris Saint Germain,PSG,1,0,1.71747,0.344198,"2020-09-10 21:00:00",0.8006,0.161,0.0384
"18","14191",TRUE,176,Bordeaux,BOR,178,Lyon,LYO,0,0,0.231132,1.79726,"2020-09-11 19:00:00",0.0299,0.1717,0.7984
"19","14192",TRUE,166,Montpellier,MPL,170,Nice,NIC,3,1,1.69934,0.376694,"2020-09-12 15:00:00",0.7369,0.2016,0.0615
"20","14193",TRUE,175,Saint-Etienne,SEN,225,Strasbourg,STR,2,0,1.76107,1.30205,"2020-09-12 19:00:00",0.5197,0.277,0.2033
"21","14194",TRUE,160,Lille,LIL,180,Metz,MET,1,0,0.814528,0.736721,"2020-09-13 11:00:00",0.3186,0.3778,0.3036
"22","14195",TRUE,179,Lorient,LOR,210,Lens,LEN,2,3,0.919743,1.98746,"2020-09-13 13:00:00",0.0819,0.2448,0.6733
"23","14196",TRUE,181,Dijon,DJN,241,Brest,BRE,0,2,0.296281,2.19687,"2020-09-13 13:00:00",0.0229,0.113,0.8641
"24","14197",TRUE,167,Angers,ANG,177,Reims,REI,1,0,2.14867,0.324767,"2020-09-13 13:00:00",0.8581,0.1142,0.0277
"25","14198",TRUE,235,Nimes,NIM,163,Rennes,REN,2,4,1.00844,2.0941,"2020-09-13 13:00:00",0.1298,0.2021,0.6681
"26","14199",TRUE,171,Monaco,MON,168,Nantes,NAN,2,1,2.27042,1.10894,"2020-09-13 15:00:00",0.644,0.2161,0.1399
"27","14200",TRUE,161,Paris Saint Germain,PSG,164,Marseille,MAR,0,1,2.22184,0.502817,"2020-09-13 19:00:00",0.8529,0.1176,0.0295
"28","14201",TRUE,166,Montpellier,MPL,178,Lyon,LYO,2,1,1.75168,2.17049,"2020-09-15 19:00:00",0.2513,0.2867,0.462
"29","14202",TRUE,161,Paris Saint Germain,PSG,180,Metz,MET,1,0,2.42357,0.980849,"2020-09-16 19:00:00",0.7217,0.1795,0.0988
"30","14203",TRUE,164,Marseille,MAR,175,Saint-Etienne,SEN,0,2,2.65376,1.02937,"2020-09-17 19:00:00",0.7622,0.1501,0.0877
"31","14204",TRUE,178,Lyon,LYO,235,Nimes,NIM,0,0,1.62529,0.714832,"2020-09-18 19:00:00",0.6345,0.2452,0.1203
"32","14205",TRUE,210,Lens,LEN,176,Bordeaux,BOR,2,1,3.02331,0.359182,"2020-09-19 15:00:00",0.942,0.048,0.01
