"","id","fid","h","a","date","league_id","season","h_goals","a_goals","team_h","team_a","h_xg","a_xg","h_w","h_d","h_l","league","h_shot","a_shot","h_shotOnTarget","a_shotOnTarget","h_deep","a_deep","a_ppda","h_ppda"
"1","14086","1485187","228","83","2020-09-12 11:30:00","1","2020","0","3","Fulham","Arsenal","0.126327","2.16287","0.0037","0.0476","0.9487","EPL","5","13","2","6","0","11","21.9286","32.6923"
"1","14087","1485186","78","74","2020-09-12 14:00:00","1","2020","1","0","Crystal Palace","Southampton","1.39569","1.26267","0.3916","0.3022","0.3062","EPL","5","9","3","5","1","14","3.6087","17.3333"
"1","14090","1485188","87","245","2020-09-12 16:30:00","1","2020","4","3","Liverpool","Leeds","3.15412","0.269813","0.9658","0.0296","0.0046","EPL","22","6","6","3","19","2","9.3333","9.9355"
"1","14091","1485191","81","86","2020-09-12 19:00:00","1","2020","0","2","West Ham","Newcastle United","0.861445","1.65911","0.1506","0.248","0.6014","EPL","15","15","3","2","5","10","24.1818","6.4074"
"1","14092","1485190","76","75","2020-09-13 13:00:00","1","2020","0","3","West Bromwich Albion","Leicester","0.352997","2.95581","0.007","0.0358","0.9572","EPL","7","13","1","7","6","3","10.5294","19.1053"
"1","14093","1485189","82","72","2020-09-13 15:30:00","1","2020","0","1","Tottenham","Everton","0.822944","1.26793","0.22","0.2977","0.4823","EPL","9","15","5","4","9","5","16.2632","11.3333"
"1","14094","1485193","238","229","2020-09-14 17:00:00","1","2020","0","2","Sheffield United","Wolverhampton Wanderers","0.949316","1.61307","0.1683","0.2906","0.5411","EPL","9","11","2","4","10","3","31.3333","8.2333"
"1","14095","1485192","220","80","2020-09-14 19:15:00","1","2020","1","3","Brighton","Chelsea","1.44281","1.27062","0.3871","0.3153","0.2976","EPL","13","10","3","5","3","6","12.6957","9.3448"
"1","14096","1485197","72","76","2020-09-19 11:30:00","1","2020","5","2","Everton","West Bromwich Albion","4.16254","0.315347","0.9973","0.0022","0.0005","EPL","17","6","7","4","6","6","41.5000","9.0952"
"1","14097","1485198","245","228","2020-09-19 14:00:00","1","2020","4","3","Leeds","Fulham","1.45254","1.55503","0.3157","0.3137","0.3706","EPL","10","14","7","6","5","4","9.4231","7.6176"
"1","14098","1485200","89","78","2020-09-19 16:30:00","1","2020","1","3","Manchester United","Crystal Palace","1.09737","1.91456","0.1695","0.2378","0.5927","EPL","17","14","4","5","9","4","13.5909","3.3077"
"1","14099","1485194","83","81","2020-09-19 19:00:00","1","2020","2","1","Arsenal","West Ham","1.32902","2.06377","0.1916","0.2407","0.5677","EPL","7","14","3","3","16","4","18.2609","12.7647"
"1","14100","1485202","74","82","2020-09-20 11:00:00","1","2020","2","5","Southampton","Tottenham","2.27708","2.28004","0.3533","0.2765","0.3702","EPL","14","9","7","6","4","3","10.7826","8.6667"
