"","id","fid","h","a","date","league_id","season","h_goals","a_goals","team_h","team_a","h_xg","a_xg","h_w","h_d","h_l","league","h_shot","a_shot","h_shotOnTarget","a_shotOnTarget","h_deep","a_deep","a_ppda","h_ppda"
"1","14116","1495318","110","113","2020-09-19 16:00:00","2","2020","1","0","Fiorentina","Torino","2.35462","0.617878","0.8292","0.1321","0.0387","Serie A","16","6","5","3","9","2","6.8571","9.4706"
"1","14117","1495332","94","95","2020-09-19 18:45:00","2","2020","0","0","Verona","Roma","0.910773","1.77959","0.1573","0.2477","0.595","Serie A","8","21","3","4","3","9","5.0625","8.4242"
"1","14118","1495326","230","105","2020-09-20 10:30:00","2","2020","0","2","Parma Calcio 1913","Napoli","0.160985","1.54079","0.013","0.1221","0.8649","Serie A","6","17","2","6","7","7","12.1739","19.4211"
"1","14119","1495320","101","115","2020-09-20 13:00:00","2","2020","4","1","Genoa","Crotone","2.23283","1.32278","0.6079","0.2131","0.179","Serie A","14","13","6","3","4","4","9.4242","8.9375"
"1","14120","1495328","104","116","2020-09-20 16:00:00","2","2020","1","1","Sassuolo","Cagliari","2.0285","0.95973","0.6318","0.2302","0.138","Serie A","33","8","9","4","15","4","18.6364","9.2632"
"1","14121","1495321","98","102","2020-09-20 18:45:00","2","2020","3","0","Juventus","Sampdoria","2.14288","0.606523","0.8007","0.1501","0.0492","Serie A","20","15","8","1","10","1","21.6500","6.7931"
"1","14122","1495324","111","97","2020-09-21 18:45:00","2","2020","2","0","AC Milan","Bologna","2.94224","0.825483","0.8582","0.1002","0.0416","Serie A","17","13","5","4","6","3","13.5000","9.2609"
"1","14123","1495383","113","107","2020-09-26 13:00:00","2","2020","2","4","Torino","Atalanta","0.773914","2.47087","0.0674","0.152","0.7806","Serie A","7","19","4","7","3","14","10.8000","11.7200"
"1","14124","1495376","116","96","2020-09-26 16:00:00","2","2020","0","2","Cagliari","Lazio","0.91566","1.99417","0.1028","0.223","0.6742","Serie A","9","16","2","6","0","8","13.8500","11.1481"
"1","14125","1495381","102","222","2020-09-26 16:00:00","2","2020","2","3","Sampdoria","Benevento","1.36058","1.27481","0.3697","0.3209","0.3094","Serie A","9","14","3","5","2","5","8.3125","14.4286"
