"","X.1","match_id","id","minute","result","X","Y","xG","player","h_a","player_id","situation","season","shotType","match_id.1","h_team","a_team","h_goals","a_goals","date","player_assisted","lastAction","gametime"
"1",20,14173,378415,80,"Goal",0.861999969482422,0.604000015258789,0.107626654207706,"Jamal Musiala","h",8418,"OpenPlay",2020,"RightFoot",14173,"Bayern Munich","Schalke 04",8,0,"2020-09-18 18:30:00","Robert Lewandowski","Pass",17
"2",14,14173,378408,62,"SavedShot",0.891999969482422,0.53,0.494174629449844,"Corentin Tolisso","h",3603,"OpenPlay",2020,"LeftFoot",14173,"Bayern Munich","Schalke 04",8,0,"2020-09-18 18:30:00","Serge Gnabry","Pass",38
"3",17,14173,378411,67,"MissedShots",0.900999984741211,0.552000007629394,0.0572542548179626,"Corentin Tolisso","h",3603,"FromCorner",2020,"Head",14173,"Bayern Munich","Schalke 04",8,0,"2020-09-18 18:30:00","Joshua Kimmich","Cross",38
"4",26,14173,378414,80,"MissedShots",0.963000030517578,0.322000007629395,0.0453431233763695,"Benito Raman","a",7059,"OpenPlay",2020,"RightFoot",14173,"Bayern Munich","Schalke 04",8,0,"2020-09-18 18:30:00",NA,"None",24
"5",11,14174,377367,48,"SavedShot",0.751999969482422,0.454000015258789,0.0192176904529333,"Aymen Barkok","h",5235,"OpenPlay",2020,"RightFoot",14174,"Eintracht Frankfurt","Arminia Bielefeld",1,1,"2020-09-19 13:30:00","Filip Kostic","None",43
"6",14,14174,377374,65,"MissedShots",0.888000030517578,0.477999992370605,0.0745043754577637,"Steven Zuber","h",254,"OpenPlay",2020,"Head",14174,"Eintracht Frankfurt","Arminia Bielefeld",1,1,"2020-09-19 13:30:00","Filip Kostic","Cross",43
"7",17,14174,377379,83,"SavedShot",0.895,0.614000015258789,0.0201541464775801,"Stefan Ilsanker","h",5242,"FromCorner",2020,"Head",14174,"Eintracht Frankfurt","Arminia Bielefeld",1,1,"2020-09-19 13:30:00","Daichi Kamada","Cross",13
"8",29,14174,377381,92,"SavedShot",0.77,0.731999969482422,0.0151794608682394,"Sven Schipplock","a",176,"OpenPlay",2020,"RightFoot",14174,"Eintracht Frankfurt","Arminia Bielefeld",1,1,"2020-09-19 13:30:00",NA,"BallTouch",8
"9",31,14174,377383,94,"MissedShots",0.793000030517578,0.634000015258789,0.0221850909292698,"Sven Schipplock","a",176,"OpenPlay",2020,"RightFoot",14174,"Eintracht Frankfurt","Arminia Bielefeld",1,1,"2020-09-19 13:30:00",NA,"Rebound",8
"10",30,14174,377382,94,"BlockedShot",0.895,0.617000007629395,0.117389641702175,"Fabian Kunze","a",8793,"OpenPlay",2020,"LeftFoot",14174,"Eintracht Frankfurt","Arminia Bielefeld",1,1,"2020-09-19 13:30:00",NA,"TakeOn",16
"11",13,14175,377405,95,"MissedShots",0.929000015258789,0.572999992370606,0.0482865422964096,"Joshua Mees","h",7885,"SetPiece",2020,"Head",14175,"Union Berlin","Augsburg",1,3,"2020-09-19 13:30:00","Niko Gießelmann","Aerial",3
"12",15,14175,377407,95,"MissedShots",0.859000015258789,0.590999984741211,0.0150800403207541,"Joshua Mees","h",7885,"OpenPlay",2020,"Head",14175,"Union Berlin","Augsburg",1,3,"2020-09-19 13:30:00","Robin Knoche","Aerial",3
"13",11,14175,377400,83,"SavedShot",0.95,0.602000007629395,0.19416418671608,"Cedric Teuchert","h",6522,"OpenPlay",2020,"Head",14175,"Union Berlin","Augsburg",1,3,"2020-09-19 13:30:00","Marius Bülter","Cross",18
"14",20,14175,377397,76,"SavedShot",0.864000015258789,0.542000007629394,0.01495994720608,"André Hahn","a",412,"FromCorner",2020,"Head",14175,"Union Berlin","Augsburg",1,3,"2020-09-19 13:30:00",NA,"Aerial",13
"15",24,14175,377404,88,"Goal",0.931999969482422,0.432999992370605,0.462851494550705,"André Hahn","a",412,"OpenPlay",2020,"LeftFoot",14175,"Union Berlin","Augsburg",1,3,"2020-09-19 13:30:00",NA,"Rebound",13
"16",23,14175,377403,88,"BlockedShot",0.730999984741211,0.412999992370605,0.0254944004118443,"Fredrik Jensen","a",7197,"OpenPlay",2020,"RightFoot",14175,"Union Berlin","Augsburg",1,3,"2020-09-19 13:30:00","Alfred Finnbogason","Pass",3
"17",10,14176,377515,79,"MissedShots",0.978000030517578,0.39,0.0751624554395676,"Dominick Drexler","h",7789,"OpenPlay",2020,"RightFoot",14176,"FC Cologne","Hoffenheim",2,3,"2020-09-19 13:30:00",NA,"Rebound",14
"18",13,14176,377518,85,"Goal",0.979000015258789,0.490999984741211,0.945284187793732,"Dominick Drexler","h",7789,"SetPiece",2020,"RightFoot",14176,"FC Cologne","Hoffenheim",2,3,"2020-09-19 13:30:00",NA,"Rebound",14
"19",12,14176,377517,85,"SavedShot",0.899000015258789,0.495,0.0377869121730328,"Frederik Sörensen","h",138,"SetPiece",2020,"Head",14176,"FC Cologne","Hoffenheim",2,3,"2020-09-19 13:30:00","Salih Özcan","Aerial",1
