"","X.1","match_id","id","minute","result","X","Y","xG","player","h_a","player_id","situation","season","shotType","match_id.1","h_team","a_team","h_goals","a_goals","date","player_assisted","lastAction","gametime"
"1",4,14086,376490,66,"SavedShot",0.803000030517578,0.655,0.0342145003378391,"Aleksandar Mitrovic","h",773,"OpenPlay",2020,"RightFoot",14086,"Fulham","Arsenal",0,3,"2020-09-12 11:30:00","Franck Zambo","Pass",26
"2",5,14086,376494,89,"MissedShots",0.595999984741211,0.292000007629395,0.00548285339027643,"Bobby Reid","h",6827,"OpenPlay",2020,"RightFoot",14086,"Fulham","Arsenal",0,3,"2020-09-12 11:30:00",NA,"None",14
"3",11,14091,376666,78,"MissedShots",0.733000030517578,0.537000007629394,0.0177815929055214,"Andriy Yarmolenko","h",6274,"OpenPlay",2020,"LeftFoot",14091,"West Ham","Newcastle United",0,2,"2020-09-12 19:00:00","Ryan Fredericks","Pass",22
"4",12,14091,376667,79,"BlockedShot",0.765,0.382000007629395,0.0139700537547469,"Andriy Yarmolenko","h",6274,"FromCorner",2020,"LeftFoot",14091,"West Ham","Newcastle United",0,2,"2020-09-12 19:00:00",NA,"Aerial",22
"5",15,14091,376671,92,"SavedShot",0.875,0.3,0.0503686591982841,"Andriy Yarmolenko","h",6274,"OpenPlay",2020,"LeftFoot",14091,"West Ham","Newcastle United",0,2,"2020-09-12 19:00:00","Tomas Soucek","Pass",22
"6",10,14091,376662,67,"MissedShots",0.955,0.410999984741211,0.122949130833149,"Sébastien Haller","h",6144,"FromCorner",2020,"RightFoot",14091,"West Ham","Newcastle United",0,2,"2020-09-12 19:00:00",NA,"Rebound",22
"7",14,14091,376669,83,"SavedShot",0.923000030517578,0.409000015258789,0.0205496456474066,"Sébastien Haller","h",6144,"FromCorner",2020,"Head",14091,"West Ham","Newcastle United",0,2,"2020-09-12 19:00:00","Ryan Fredericks","Aerial",22
"8",27,14091,376664,77,"BlockedShot",0.808000030517578,0.715,0.030982693657279,"Joelinton","a",87,"OpenPlay",2020,"RightFoot",14091,"West Ham","Newcastle United",0,2,"2020-09-12 19:00:00","Jonjo Shelvey","Pass",14
"9",30,14091,376672,92,"BlockedShot",0.878000030517578,0.63,0.135310307145119,"Miguel Almirón","a",7420,"OpenPlay",2020,"LeftFoot",14091,"West Ham","Newcastle United",0,2,"2020-09-12 19:00:00",NA,"BallRecovery",4
"10",6,14092,376852,86,"BlockedShot",0.888000030517578,0.41,0.0626111328601837,"Kyle Edwards","h",8758,"OpenPlay",2020,"RightFoot",14092,"West Bromwich Albion","Leicester",0,3,"2020-09-13 13:00:00",NA,"None",20
"11",7,14092,376853,91,"MissedShots",0.733000030517578,0.427999992370605,0.0177750531584024,"Hal Robson-Kanu","h",1738,"OpenPlay",2020,"LeftFoot",14092,"West Bromwich Albion","Leicester",0,3,"2020-09-13 13:00:00","Grady Diangana","Pass",29
"12",6,14094,377115,74,"BlockedShot",0.805,0.313999996185303,0.0263810567557812,"David McGoldrick","h",7711,"OpenPlay",2020,"RightFoot",14094,"Sheffield United","Wolverhampton Wanderers",0,2,"2020-09-14 17:00:00","John Lundstram","Pass",18
"13",8,14095,377153,46,"MissedShots",0.985,0.575999984741211,0.30488783121109,"Aaron Connolly","h",7991,"OpenPlay",2020,"OtherBodyPart",14095,"Brighton","Chelsea",1,3,"2020-09-14 19:15:00","Solly March","Cross",46
"14",9,14095,377154,47,"BlockedShot",0.898000030517578,0.643000030517578,0.0743193626403809,"Aaron Connolly","h",7991,"OpenPlay",2020,"RightFoot",14095,"Brighton","Chelsea",1,3,"2020-09-14 19:15:00","Steven Alzate","Pass",46
"15",13,14095,377162,79,"SavedShot",0.75,0.555,0.0135557157918811,"Aaron Connolly","h",7991,"OpenPlay",2020,"RightFoot",14095,"Brighton","Chelsea",1,3,"2020-09-14 19:15:00",NA,"None",46
"16",23,14095,377163,93,"SavedShot",0.688000030517578,0.472000007629395,0.017517002299428,"Ross Barkley","a",592,"OpenPlay",2020,"RightFoot",14095,"Brighton","Chelsea",1,3,"2020-09-14 19:15:00","Timo Werner","Pass",25
"17",16,14096,377351,83,"MissedShots",0.759000015258789,0.394000015258789,0.0223457217216492,"Moise Kean","h",1304,"OpenPlay",2020,"LeftFoot",14096,"Everton","West Bromwich Albion",5,2,"2020-09-19 11:30:00","Gylfi Sigurdsson","Pass",9
