"","X.1","match_id","id","minute","result","X","Y","xG","player","h_a","player_id","situation","season","shotType","match_id.1","h_team","a_team","h_goals","a_goals","date","player_assisted","lastAction","gametime"
"1",9,13978,375558,69,"BlockedShot",0.704000015258789,0.36,0.0108775617554784,"Romain Amalfitano","h",5620,"OpenPlay",2020,"RightFoot",13978,"Dijon","Angers",0,1,"2020-08-22 15:00:00",NA,"None",45
"2",20,13978,375559,79,"MissedShots",0.951999969482422,0.454000015258789,0.537693381309509,"Farid El Melali","a",7064,"OpenPlay",2020,"Head",13978,"Dijon","Angers",0,1,"2020-08-22 15:00:00","Enzo Ebosse","Cross",10
"3",5,13979,375672,83,"MissedShots",0.783000030517578,0.257999992370605,0.0152103509753942,"Luiz Araujo","h",6012,"OpenPlay",2020,"LeftFoot",13979,"Lille","Rennes",1,1,"2020-08-22 19:00:00","Mehmet Zeki Çelik","Pass",5
"4",13,13979,375667,64,"BlockedShot",0.804000015258789,0.557000007629395,0.0397329479455948,"Eduardo Camavinga","a",7359,"OpenPlay",2020,"LeftFoot",13979,"Lille","Rennes",1,1,"2020-08-22 19:00:00",NA,"Rebound",23
"5",14,13979,375668,68,"MissedShots",0.974000015258789,0.552999992370605,0.565766930580139,"Eduardo Camavinga","a",7359,"OpenPlay",2020,"LeftFoot",13979,"Lille","Rennes",1,1,"2020-08-22 19:00:00","Romain Del Castillo","Cross",23
"6",15,13979,375669,73,"MissedShots",0.925999984741211,0.394000015258789,0.0373161360621452,"Eduardo Camavinga","a",7359,"FromCorner",2020,"Head",13979,"Lille","Rennes",1,1,"2020-08-22 19:00:00","Romain Del Castillo","Cross",23
"7",21,13979,375676,87,"BlockedShot",0.885999984741211,0.669000015258789,0.0650405660271645,"Flavien Tait","a",5655,"OpenPlay",2020,"RightFoot",13979,"Lille","Rennes",1,1,"2020-08-22 19:00:00",NA,"TakeOn",23
"8",10,13979,375664,51,"MissedShots",0.801999969482422,0.447999992370605,0.018200071528554,"Brandon Soppy","a",8639,"FromCorner",2020,"RightFoot",13979,"Lille","Rennes",1,1,"2020-08-22 19:00:00",NA,"Aerial",49
"9",12,13979,375666,64,"BlockedShot",0.920999984741211,0.400999984741211,0.0521329306066036,"Romain Del Castillo","a",3721,"OpenPlay",2020,"Head",13979,"Lille","Rennes",1,1,"2020-08-22 19:00:00","Faitout Maouassa","Cross",23
"10",20,13979,375675,85,"BlockedShot",0.804000015258789,0.590999984741211,0.0350409336388111,"Romain Del Castillo","a",3721,"OpenPlay",2020,"LeftFoot",13979,"Lille","Rennes",1,1,"2020-08-22 19:00:00","Naif Aguerd","Pass",23
"11",14,13982,375694,46,"MissedShots",0.880999984741211,0.711999969482422,0.0467787124216557,"Sofiane Diop","h",6846,"OpenPlay",2020,"RightFoot",13982,"Monaco","Reims",2,2,"2020-08-23 11:00:00","Aleksandr Golovin","Pass",41
"12",17,13982,375699,57,"BlockedShot",0.774000015258789,0.547999992370605,0.032917071133852,"Sofiane Diop","h",6846,"OpenPlay",2020,"RightFoot",13982,"Monaco","Reims",2,2,"2020-08-23 11:00:00","Wissam Ben Yedder","Tackle",41
"13",20,13982,375705,92,"SavedShot",0.853000030517578,0.435999984741211,0.011338765732944,"Jean Eudes Aholou","h",4811,"FromCorner",2020,"Head",13982,"Monaco","Reims",2,2,"2020-08-23 11:00:00","Fode Toure","Aerial",1
"14",21,13982,375706,93,"BlockedShot",0.85,0.499000015258789,0.0875282883644104,"Jean Eudes Aholou","h",4811,"OpenPlay",2020,"RightFoot",13982,"Monaco","Reims",2,2,"2020-08-23 11:00:00","Ruben Aguilar","Cross",1
"15",30,13982,375702,68,"BlockedShot",0.805999984741211,0.645,0.0904740914702415,"Arbër Zeneli","a",7397,"OpenPlay",2020,"RightFoot",13982,"Monaco","Reims",2,2,"2020-08-23 11:00:00","Boulaye Dia","Chipped",27
"16",29,13982,375700,59,"MissedShots",0.889000015258789,0.668000030517578,0.270535677671432,"Valon Berisha","a",7178,"OpenPlay",2020,"RightFoot",13982,"Monaco","Reims",2,2,"2020-08-23 11:00:00","Boulaye Dia","Pass",31
"17",9,13980,375720,86,"SavedShot",0.888000030517578,0.585,0.310961604118347,"Sylvain Marveaux","h",1064,"OpenPlay",2020,"LeftFoot",13980,"Lorient","Strasbourg",3,1,"2020-08-23 13:00:00","Enzo Le Fée","Chipped",5
"18",10,13980,375721,86,"Goal",0.888000030517578,0.474000015258789,0.390904605388641,"Pierre-Yves Hamel","h",5762,"OpenPlay",2020,"RightFoot",13980,"Lorient","Strasbourg",3,1,"2020-08-23 13:00:00",NA,"Rebound",5
"19",17,13980,375724,92,"BlockedShot",0.841999969482422,0.355999984741211,0.0569606758654118,"Majeed Waris","a",3461,"OpenPlay",2020,"RightFoot",13980,"Lorient","Strasbourg",3,1,"2020-08-23 13:00:00","Kévin Zohi","Pass",25
"20",16,13980,375723,91,"BlockedShot",0.773000030517578,0.465999984741211,0.0224133376032114,"Jean-Ricner Bellegarde","a",7762,"OpenPlay",2020,"RightFoot",13980,"Lorient","Strasbourg",3,1,"2020-08-23 13:00:00",NA,"None",13
"21",15,13980,375722,89,"MissedShots",0.81,0.462999992370605,0.0547698959708214,"Kévin Zohi","a",6128,"OpenPlay",2020,"RightFoot",13980,"Lorient","Strasbourg",3,1,"2020-08-23 13:00:00","Idriss Saadi","Pass",13
"22",11,13985,375745,83,"Goal",0.905,0.324000015258789,0.137592166662216,"Moussa Koné","h",8318,"OpenPlay",2020,"RightFoot",13985,"Nimes","Brest",4,0,"2020-08-23 13:00:00","Zinedine Ferhat","Throughball",31
"23",15,13984,375782,68,"SavedShot",0.913000030517578,0.454000015258789,0.458098739385605,"Simon Banza","a",8669,"OpenPlay",2020,"RightFoot",13984,"Nice","Lens",2,1,"2020-08-23 15:00:00","Clement Michelin","TakeOn",24
"24",18,13984,375787,84,"MissedShots",0.905999984741211,0.485,0.252368986606598,"Simon Banza","a",8669,"OpenPlay",2020,"Head",13984,"Nice","Lens",2,1,"2020-08-23 15:00:00","Issiaga Sylla","Cross",24
"25",13,13984,375780,63,"BlockedShot",0.745999984741211,0.62,0.0554480217397213,"Corentin Jean","a",3445,"DirectFreekick",2020,"RightFoot",13984,"Nice","Lens",2,1,"2020-08-23 15:00:00",NA,"Standard",24
"26",16,13984,375784,79,"SavedShot",0.891999969482422,0.267000007629395,0.0392099730670452,"Corentin Jean","a",3445,"OpenPlay",2020,"RightFoot",13984,"Nice","Lens",2,1,"2020-08-23 15:00:00","Yannick Cahuzac","Pass",24
"27",19,13984,375788,86,"MissedShots",0.863000030517578,0.514000015258789,0.0341369025409222,"Corentin Jean","a",3445,"OpenPlay",2020,"Head",13984,"Nice","Lens",2,1,"2020-08-23 15:00:00","Tony Mauricio","Cross",24
"28",20,13984,375789,89,"BlockedShot",0.895,0.16,0.0545877665281296,"Tony Mauricio","a",8668,"DirectFreekick",2020,"LeftFoot",13984,"Nice","Lens",2,1,"2020-08-23 15:00:00",NA,"Standard",17
"29",24,13990,376074,68,"SavedShot",0.850999984741211,0.648000030517578,0.0807795077562332,"Jeff Reine-Adelaide","h",1056,"OpenPlay",2020,"LeftFoot",13990,"Lyon","Dijon",4,1,"2020-08-28 19:00:00","Memphis Depay","Pass",22
"30",25,13990,376075,73,"SavedShot",0.864000015258789,0.350999984741211,0.0790164470672607,"Mathis Cherki","h",8094,"OpenPlay",2020,"LeftFoot",13990,"Lyon","Dijon",4,1,"2020-08-28 19:00:00","Maxence Caqueret","Pass",18
"31",27,13990,376078,84,"SavedShot",0.875999984741211,0.693000030517578,0.0850094929337502,"Mathis Cherki","h",8094,"OpenPlay",2020,"RightFoot",13990,"Lyon","Dijon",4,1,"2020-08-28 19:00:00","Maxence Caqueret","Chipped",18
"32",13,13994,376111,69,"MissedShots",0.878000030517578,0.349000015258789,0.106087908148766,"Sehrou Guirassy","h",3738,"OpenPlay",2020,"RightFoot",13994,"Rennes","Montpellier",2,1,"2020-08-29 15:00:00","Martin Terrier","Pass",22
"33",16,13994,376116,90,"SavedShot",0.811999969482422,0.34,0.051120538264513,"Romain Del Castillo","h",3721,"OpenPlay",2020,"LeftFoot",13994,"Rennes","Montpellier",2,1,"2020-08-29 15:00:00","Yann Gboho","Pass",1
"34",28,13994,376118,93,"SavedShot",0.873000030517578,0.445,0.0167848598212004,"Petar Skuletic","a",2713,"OpenPlay",2020,"Head",13994,"Rennes","Montpellier",2,1,"2020-08-29 15:00:00","Joris Chotard","Aerial",1
"35",4,13996,376149,53,"MissedShots",0.888000030517578,0.354000015258789,0.0383078865706921,"Majeed Waris","h",3461,"FromCorner",2020,"RightFoot",13996,"Strasbourg","Nice",0,2,"2020-08-29 19:00:00","Mehdi Chahiri","Cross",41
"36",4,13993,376179,86,"MissedShots",0.881999969482422,0.47,0.159668162465096,"Fraser Hornby","h",8648,"OpenPlay",2020,"Head",13993,"Reims","Lille",0,1,"2020-08-30 11:00:00","Ghislain Konan","Cross",13
"37",3,13993,376178,76,"MissedShots",0.746999969482422,0.360999984741211,0.0200318340212107,"Anastasios Donis","h",3962,"OpenPlay",2020,"RightFoot",13993,"Reims","Lille",0,1,"2020-08-30 11:00:00","Valon Berisha","Pass",29
"38",12,13993,376182,90,"MissedShots",0.820999984741211,0.479000015258789,0.0795098468661308,"Yusuf Yazici","a",7756,"OpenPlay",2020,"LeftFoot",13993,"Reims","Lille",0,1,"2020-08-30 11:00:00","Xeka","Pass",10
"39",11,13993,376181,89,"MissedShots",0.734000015258789,0.472000007629395,0.0239775944501162,"Luiz Araujo","a",6012,"OpenPlay",2020,"LeftFoot",13993,"Reims","Lille",0,1,"2020-08-30 11:00:00","Yusuf Yazici","Pass",20
"40",13,13993,376183,91,"MissedShots",0.878000030517578,0.392000007629395,0.356679916381836,"Timothy Weah","a",6601,"OpenPlay",2020,"LeftFoot",13993,"Reims","Lille",0,1,"2020-08-30 11:00:00",NA,"None",10
"41",14,13993,376184,92,"SavedShot",0.849000015258789,0.482000007629395,0.119718208909035,"Timothy Weah","a",6601,"OpenPlay",2020,"RightFoot",13993,"Reims","Lille",0,1,"2020-08-30 11:00:00",NA,"TakeOn",10
"42",12,13987,376203,92,"MissedShots",0.786999969482422,0.637000007629395,0.0192574951797724,"Antonin Bobichon","h",6869,"OpenPlay",2020,"RightFoot",13987,"Angers","Bordeaux",0,2,"2020-08-30 13:00:00","Pierrick Capelle","None",9
"43",10,13987,376201,87,"BlockedShot",0.940999984741211,0.574000015258789,0.079845629632473,"Stéphane Bahoken","h",5980,"OpenPlay",2020,"RightFoot",13987,"Angers","Bordeaux",0,2,"2020-08-30 13:00:00",NA,"None",23
